course_code,title,credits,description,source
CSCI 1010,Computer Science Orientation,1 Credit,"Introduction to the field of computer science. Basic and emerging concepts and applications of computer science. Hands-on experiments and team projects. Technical resources, professional ethics, writing, and presentation.",bulletin
CSCI 1011,Introduction to Programming with Java,3 Credits,"An introductory course in programming a computer, using the Java language. Object-oriented programming, classes, applets, methods, control structures, inheritance, overriding, GUI widgets, containers, and exceptions.",bulletin
CSCI 1012,Introduction to Programming with Python,3 Credits,"Introduction to programming a computer using the Python language; variables, types, assignment, conditionals, loops, lists, and program units. (Fall, spring, and summer, Every year)",bulletin
CSCI 1013,Computational Problem-Solving Across Disciplines,3 Credits,"Data structures, data types, visualizations relevant to interdisciplinary computing and data science applications. Computational problem-solving with applications in humanities, social sciences, and STEM. Prerequisites:CSCI 1012.",bulletin
CSCI 1020,Applications Software,3 Credits,"Introduction to the use of microcomputer hardware and software for word processing (e.g., Word), spreadsheets (e.g., Excel), and database management (e.g., Access), with emphasis on the use of computers to solve typical problems in academia and business.",bulletin
CSCI 1021,Introduction to Computers and the Internet,3 Credits,Survey of computers and languages. Introduction to computer programming. History of computing and networking. The effects of computing and the Internet on our lives. E-commerce and new technologies. Concepts of web page design.,bulletin
CSCI 1022,Introduction to Internet Technology,3 Credits,"An introductory course for non-technical students who wish to obtain a better understanding of the hardware and software that comprise the Internet. Information transfer over fiber, routing and switching of packets, methods of information transfer, protocols, software, ISP, web pages and multimedia.",bulletin
CSCI 1023,Introduction to Web Software Development,3 Credits,"Introduction to the Internet. Topics include address and URL to find your way, linking to a URL, HTML and web programming, building a web page, building a home page, client-server techniques.",bulletin
CSCI 1099,Variable Topics,1-36 Credits,,bulletin
CSCI 1111,Introduction to Software Development,3 Credits,"Introduction to problem solving on a digital computer using the Java language. Object oriented programming concepts; design of test data; documentation techniques. Debugging, writing, and running programs in an interactive computing environment. (Spring, summer, and fall, Every year)",bulletin
CSCI 1112,Algorithms and Data Structures,3 Credits,"Object-oriented software. Inheritance, exceptions, development of classes, event-driven programming. Data structures such as trees, lists, stacks, queues, and strings. Sorting and searching. Introduction to algorithm performance prediction. Prerequisites:CSCI 1111with a minimum grade of C; andMATH 1220orMATH 1231. (Spring, Every year)",bulletin
CSCI 1121,Introduction to C Programming,3 Credits,"Structured programming with the C language; control structures; data types; use of pointers; matrix manipulation to solve simultaneous equations; external subroutines for mathematical and graphical applications; introduction to C++; complex number representation. Co-requisites:MATH 1220andMATH 1231. Credit cannot be earned for this course andECE 1120. (Spring, Every year)",bulletin
CSCI 1131,Introduction to Programming with C,3 Credits,"Intensive introductory course for students with a science, mathematics, or other quantitative backgrounds. Solution of numerical and nonnumerical problems on a digital computer using C programming language in a Unix environment. Prerequisites:MATH 1232.",bulletin
CSCI 1132,Data Structures and Software Design,3 Credits,"Data structures such as trees, lists, stacks, queues, and strings. Big-O notation and introduction to algorithm performance analysis. Solutions of numerical and non-numerical problems. Use of I/O libraries. Application development and software testing. Prerequisite:CSCI 1121.",bulletin
