"subject_code","crn","title","credits","instructor","section","status","building_room","day_time","dates","comments","course_number","course_title","fee","find_books","find_books_id","find_books_link","xlist","xlist_id"
"CSCI 1012","44900","Introduction to Programming with Python","3.00","Goldfrank, J","10","OPEN","1957 E 213","M
03:45PM - 05:00PM","01/12/26 - 04/27/26","Registration restricted to non-CS undergraduate majors. Also register for one laboratory section: CSCI 1012. 30, 31, 32, 33, 34, 35, 36, or 37","","","","","","","",""
"CSCI 1012","46084","Introduction to Programming with Python","3.00","Shaban, H","12","OPEN","1957 E 212","M
06:10PM - 08:40PM","01/12/26 - 04/27/26","Only Non-CS undergraduate majors whose schedules prevent them from registering for 1012.10 can register for this course. To register for this course fill out the CS Registration Issues Form on the following website. https://cs.engineering.gwu.edu/course-registration-information","","","","","","","",""
"CSCI 1022","43428","Introduction to Internet Technology","3.00","Vidrine, E","10","OPEN","TOMP 301","R
06:10PM - 08:40PM","01/12/26 - 04/27/26","Students needing a CS elective and not planning to declare a CS major or minor should consider this course.","","","","","","","",""
"CSCI 1023","43433","Introduction to Web Software Development","3.00","Brenner, N","10","OPEN","TOMP 406","T
06:10PM - 08:40PM","01/12/26 - 04/27/26","Students needing a CS elective and not planning to declare a CS major or minor should consider this course.","","","","","","","",""
"CSCI 1111","43685","Introduction to Software Development","3.00","Dobolyi, K","10","OPEN","MPA B07","TR
11:10AM - 12:25PM","01/12/26 - 04/27/26","Also register for one laboratory section: CSCI 1111.30, 31, 32 or .33.","","","","","","","",""
"CSCI 1112","43486","Algorithms and Data Structures","3.00","Taylor, J","10","OPEN","1957 E 213","TR
09:35AM - 10:50AM","01/12/26 - 04/27/26","Registration restricted to Computer Science primary majors and System Engineering majors. Secondary CS majors and CS minors are encouraged to take this course in the fall semester. Also register for one laboratory section: CSCI 1112.30 -.33.","","","","","","","",""
"CSCI 1311","43374","Discrete Structures I","3.00","","10","OPEN","1957 E 213","TR
03:45PM - 05:00PM","01/12/26 - 04/27/26","Registration restricted to Computer Science and Computer Engineering primary majors. Secondary CS majors and CS minors are encouraged to take this course in the fall semester. Also register for one laboratory section: CSCI 1311.30 -.33.","","","","","","","",""
"CSCI 2113","43517","Software Engineering","3.00","Dobolyi, K","10","OPEN","FNGR 221","M
10:00AM - 12:30PM","01/12/26 - 04/27/26","Registration restricted to Computer Science majors/minors, Computer Engineering majors, and Systems Engineering majors. Also register for one laboratory section: CSCI 2113.30. or 31.","","","","","","","",""
"CSCI 2441","48586","Database Systems and Team Projects","3.00","He, L","10","OPEN","TOMP 310","W
06:10PM - 08:40PM","01/12/26 - 04/27/26","","","","","","","","",""
"CSCI 2441W","45137","Database Systems and Team Projects","3.00","","10","CANCELLED","","","01/12/26 - 04/27/26","Registration restricted to BA in Computer Science majors, CS minors, and Systems Engineering majors only. Also register for laboratory section: CSCI 2441W.30.","","","","","","","",""
