"CRN","building_room","comments","course_code","credits","dates","day_time","instructor","section","status","title"
"44900","1957 E 213","Registration restricted to non-CS undergraduate majors. Also register for one laboratory section: CSCI 1012. 30, 31, 32, 33, 34, 35, 36, or 37","CSCI 1012","3.00","01/12/26 - 04/27/26","M
03:45PM - 05:00PM","Goldfrank, J","10","OPEN","Introduction to Programming with Python"
"46084","1957 E 212","Only Non-CS undergraduate majors whose schedules prevent them from registering for 1012.10 can register for this course. To register for this course fill out the CS Registration Issues Form on the following website. https://cs.engineering.gwu.edu/course-registration-information","CSCI 1012","3.00","01/12/26 - 04/27/26","M
06:10PM - 08:40PM","Shaban, H","12","OPEN","Introduction to Programming with Python"
"43428","TOMP 301","Students needing a CS elective and not planning to declare a CS major or minor should consider this course.","CSCI 1022","3.00","01/12/26 - 04/27/26","R
06:10PM - 08:40PM","Vidrine, E","10","OPEN","Introduction to Internet Technology"
"43433","TOMP 406","Students needing a CS elective and not planning to declare a CS major or minor should consider this course.","CSCI 1023","3.00","01/12/26 - 04/27/26","T
06:10PM - 08:40PM","Brenner, N","10","OPEN","Introduction to Web Software Development"
"43685","MPA B07","Also register for one laboratory section: CSCI 1111.30, 31, 32 or .33.","CSCI 1111","3.00","01/12/26 - 04/27/26","TR
11:10AM - 12:25PM","Dobolyi, K","10","OPEN","Introduction to Software Development"
"43486","1957 E 213","Registration restricted to Computer Science primary majors and System Engineering majors. Secondary CS majors and CS minors are encouraged to take this course in the fall semester. Also register for one laboratory section: CSCI 1112.30 -.33.","CSCI 1112","3.00","01/12/26 - 04/27/26","TR
09:35AM - 10:50AM","Taylor, J","10","OPEN","Algorithms and Data Structures"
"43374","1957 E 213","Registration restricted to Computer Science and Computer Engineering primary majors. Secondary CS majors and CS minors are encouraged to take this course in the fall semester. Also register for one laboratory section: CSCI 1311.30 -.33.","CSCI 1311","3.00","01/12/26 - 04/27/26","TR
03:45PM - 05:00PM","","10","OPEN","Discrete Structures I"
"43517","FNGR 221","Registration restricted to Computer Science majors/minors, Computer Engineering majors, and Systems Engineering majors. Also register for one laboratory section: CSCI 2113.30. or 31.","CSCI 2113","3.00","01/12/26 - 04/27/26","M
10:00AM - 12:30PM","Dobolyi, K","10","OPEN","Software Engineering"
"48586","TOMP 310","","CSCI 2441","3.00","01/12/26 - 04/27/26","W
06:10PM - 08:40PM","He, L","10","OPEN","Database Systems and Team Projects"
"45137","","Registration restricted to BA in Computer Science majors, CS minors, and Systems Engineering majors only. Also register for laboratory section: CSCI 2441W.30.","CSCI 2441W","3.00","01/12/26 - 04/27/26","","","10","CANCELLED","Database Systems and Team Projects"
"45586","1776 G C-119","Registration restricted to BA in Computer Science majors and CS minors.","CSCI 2460","3.00","01/12/26 - 04/27/26","R
06:10PM - 08:40PM","He, L","10","OPEN","Introduction to Computer Systems"
"48580","SEH 1300
AND
SEH 1400
AND
SEH 1450","","CSCI 2541","3.00","01/12/26 - 04/27/26","MW
12:45PM - 02:00PM
AND
MW
12:45PM - 02:00PM
AND
MW
12:45PM - 02:00PM","Parmer, G","10","OPEN","Database Systems and Team Projects"
"44754","","This course will satisfy a WID requirement. Registration restricted to BS in Computer Science majors. Also register for one laboratory section: CSCI 2541W. 30 or 31.","CSCI 2541W","3.00","01/12/26 - 04/27/26","","","10","CANCELLED","Database Systems and Team Projects"
"46085","SEH 1300
AND
SEH 1400","Only CS majors and minors can register for this course. Also register for the CSCI 3212.30 laboratory section simultaneously.","CSCI 3212","4.00","01/12/26 - 04/27/26","TR
04:40PM - 06:00PM
AND
TR
04:40PM - 06:00PM","Simha, R","10","OPEN","Algorithms"
"45339","SEH 1300
AND
SEH 1400
AND
SEH 1450","Registration restricted to SEAS BS in Computer Science majors only. Also register for one laboratory section: CSCI 3313.30 or .31. Secondary CS majors and minors should fill out the CS Course Registration Issues Form https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3313","3.00","01/12/26 - 04/27/26","TR
11:10AM - 12:25PM
AND
TR
11:10AM - 12:25PM
AND
TR
11:10AM - 12:25PM","Hwa, R","10","OPEN","Foundations of Computing"
"46358","GELM B108","Registration restricted to BS in Computer Science majors. Also register for one laboratory section: CSCI 3401.30 or .31.","CSCI 3401","3.00","01/12/26 - 04/27/26","TR
03:45PM - 05:00PM","Taylor, J","10","OPEN","Computer Architecture and Organization"
"43377","","Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Pless, R","10","OPEN","Research"
"44149","","Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Simha, R","11","OPEN","Research"
"44624","","Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Aviv, A","12","OPEN","Research"
"47048","","Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course.","CSCI 3908","3.00","01/12/26 - 04/27/26","","Zhou, J","13","OPEN","Research"
