"CRN","building_room","comments","course_code","credits","dates","day_time","instructor","section","status","title"
"44281","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Yerukhimovich, A","14","OPEN","Research"
"47360","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course.","CSCI 3908","1.00","01/12/26 - 04/27/26","","Feng, S","15","OPEN","Research"
"44282","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Hahn, J","16","OPEN","Research"
"44283","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Youssef, A","17","OPEN","Research"
"44284","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Narahari, B","18","OPEN","Research"
"44285","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Parmer, G","19","OPEN","Research"
"44286","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Vora, P","20","OPEN","Research"
"44287","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Wood, T","21","OPEN","Research"
"47361","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course.","CSCI 3908","1.00","01/12/26 - 04/27/26","","Woodworth, B","22","OPEN","Research"
"45731","","Comments: Comments: Registration restricted to CS juniors and seniors only. Instructor approval required to register. To request registration, go to the following website, and fill out the CS Spring 2025 Registration Issues Form. CS Operations Staff will obtain instructor permission and register you for the course. URL: https://www.cs.seas.gwu.edu/course-registration-information","CSCI 3908","1.00 TO 3.00","01/12/26 - 04/27/26","","Hwa, R","23","OPEN","Research"
