"building_room","comments","course_title","credit","crn","day_time","find_books_id","from_to","instructor","section","status","subject","xlist_id"
"SEH 1300 AND SEH 1400","Comments: Registration restricted to undergraduate Computer Science majors and minors only","Neural Networks and Deep Learning","3.00","46510","M 06:10PM - 08:40PM AND M 06:10PM - 08:40PM","Find Books for CSCI 4366.80","01/12/26 - 04/27/26","Sipple, J","80","WAITLIST","CSCI 4366","Cross Listed Courses for CSCI 4366.80"
"TOMP 411","","Augmented and Virtual Reality","3.00","48591","W 03:30PM - 06:00PM","Find Books for CSCI 4454.10","01/12/26 - 04/27/26","Ok, H","10","OPEN","CSCI 4454",""
"MPA 208","Comments: Registration restricted to Computer Science majors and minors only.","Computer Game Design and Programming","3.00","45135","M 06:10PM - 08:40PM","Find Books for CSCI 4455.10","01/12/26 - 04/27/26","Byun, J","10","WAITLIST","CSCI 4455",""
"DUQUES 359","Comments: Registration restricted to Computer Science majors and minors only. View Course Attributes for CSCI 4511.80","Artificial Intelligence","3.00","47351","F 12:45PM - 03:15PM","Find Books for CSCI 4511.80","01/12/26 - 04/27/26","Goldfrank, J","80","OPEN","CSCI 4511","Cross Listed Courses for CSCI 4511.80"
"GELM B108","Comments: Registration restricted to Computer Science majors and minors. View Course Attributes for CSCI 4531.80","Computer Security","3.00","44197","M 12:45PM - 03:15PM","Find Books for CSCI 4531.80","01/12/26 - 04/27/26","Zhou, J","80","OPEN","CSCI 4531","Cross Listed Courses for CSCI 4531.80"
"PHIL 209","Comments: Registration restricted to Computer Science majors and minors. View Course Attributes for CSCI 4541.80","Network Security","3.00","43549","M 06:10PM - 08:40PM","Find Books for CSCI 4541.80","01/12/26 - 04/27/26","Refaei, M","80","WAITLIST","CSCI 4541","Cross Listed Courses for CSCI 4541.80"
"COR 204","Comments: Registration restricted to Computer Science majors and minors. View Course Attributes for CSCI 4554.10","Computer Graphics I","3.00","44270","M 06:10PM - 08:40PM","Find Books for CSCI 4554.10","01/12/26 - 04/27/26","Adhami, L","10","OPEN","CSCI 4554",""
"","Comments: Explore AR and Spatial Computing; Head-worn AR hardware design; 3D user interfaces (UI)/user experience (UX) design; Real-time 3D content creation and spatial interaction design; Analysis of AR's impact on diverse sectors; survey latest scientific research in AR applications. Can be taken as undergraduate credit. CSCI 4454 or Experience in 3D Design with advanced programming skills (e.g., C#, Unity). Contact Prof. Hurriyetok (hurriyetok@gwu.edu) to discuss options.","Advanced Topics in AR","3.00","47433","","Find Books for CSCI 4907.10","01/12/26 - 04/27/26","","10","CANCELLED","CSCI 4907","Cross Listed Courses for CSCI 4907.10"
"","Comments: Registration restricted to Computer Science majors and minors. Course prerequisite: CSCI 2113.","Big Data & Analytics","3.00","46356","","Find Books for CSCI 4907.80","01/12/26 - 04/27/26","","80","CANCELLED","CSCI 4907","Cross Listed Courses for CSCI 4907.80"
"TOMP 107","Comments: Registration restricted to undergraduate Computer Science majors and minors only. Prerequisite enforced will be CSCI 2441W or CSCI 2541W.","Cloud Computing","3.00","46511","F 07:10PM - 09:40PM","Find Books for CSCI 4907.81","01/12/26 - 04/27/26","Fernandez, R","81","WAITLIST","CSCI 4907","Cross Listed Courses for CSCI 4907.81"
