"building_room","comments","course_title","credit","crn","day_time","find_books_id","from_to","instructor","section","status","subject","xlist_id"
"TOMP 405","Registration restricted to Computer Science graduate students only.","Software Engineering","3.00","45577","M 06:10PM - 08:40PM","10856","01/12/26 - 04/27/26","McKeeby, J","10","OPEN","CSCI 6231",""
"GELM B108","Registration restricted to Computer Science graduate students only.","Object-Oriented Design","3.00","43375","R 06:10PM - 08:40PM","10899","01/12/26 - 04/27/26","Melo, W","10","WAITLIST","CSCI 6234",""
"MPA 302","Registration restricted to graduate Computer Science majors only.","Component-Based Enterprise Software Development","3.00","46124","F 03:30PM - 06:00PM","10942","01/12/26 - 04/27/26","Levy, R","10","OPEN","CSCI 6235",""
"","Registration restricted to graduate Computer Science majors only.","Introduction to Quantum Computing","3.00","46522","","10978","01/12/26 - 04/27/26","","84","CANCELLED","CSCI 6345",""
"PHIL B152","Please fill out the CS registration form: https://cs.engineering.gwu.edu/course-registration-information Restrictions: Registration restricted to Computer Science, Cybersecurity In Computer Science, and Data Analytics majors","Machine Learning","3.00","47489","F 09:30AM - 12:00PM","11024","01/12/26 - 04/27/26","Mehrabian, A","10","OPEN","CSCI 6364",""
"","Registration restricted to Computer Science graduate students only.","Machine Learning","3.00","44903","F 09:30AM - 12:00PM","11066","01/12/26 - 04/27/26","Qu, X","80","OPEN","CSCI 6364","11056"
"COR 104","Registration restricted to Computer Science graduate students only.","Machine Learning","3.00","45733","R 12:45PM - 03:15PM","11153","01/12/26 - 04/27/26","Feng, S","81","OPEN","CSCI 6364","11143"
"TOMP 309","Please fill out the CS registration form: https://cs.engineering.gwu.edu/course-registration-information Restrictions: Registration restricted to Computer Science, Cybersecurity In Computer Science, and Data Analytics majors","Advanced Machine Learning","3.00","47490","F 12:45PM - 03:15PM","11240","01/12/26 - 04/27/26","Hamidian, S; Mehrabian, A","80","OPEN","CSCI 6365","11227"
"SEH 1300 AND SEH 1400","Registration restricted to Computer Science, Cybersecurity In Computer Science, and Data Analytics majors.","Neural Networks and Deep Learning","3.00","46517","M 06:10PM - 08:40PM AND M 06:10PM - 08:40PM","11339","01/12/26 - 04/27/26","Sipple, J","80","WAITLIST","CSCI 6366","11329"
"","Registration restricted to Computer Science, Cybersecurity In Computer Science, and Data Analytics majors.","Advanced Operating Systems","3.00","47381","","11428","01/12/26 - 04/27/26","","82","CANCELLED","CSCI 6411","11418"
"ROME 202","Registration restricted to Computer Science, Cybersecurity In Computer Science, and Data Analytics majors only. Overview of Linux environments, GUI & Command Terminal. Important commands for information & action commands. Linux file system hierarchy. Filesystem backup & recovery. Security and ethics. Linux system and user administration. Custom user environment. Powerful and programmable text editing tools. Complex sort and search functions. Bash special functions. Bash script programming. Make and software management with Makefile scripts. Overview of more powerful commands and techniques for large-scale system administration, software development, and software maintenance unique to Linux. Rigorous coverage & practice of all skills needed by users and system administrators.","Linux for scientists, engineers, & computational science.","3.00","46087","T 03:00PM - 05:00PM","11512","01/12/26 - 04/27/26","Salimi, B","80","WAITLIST","CSCI 6418","11502"
"MON 251","Registration restricted to Computer Science undergraduate students only. Department Approval Required. Prerequisite enforced will be a grade of A- or better in CSCI 3411.","Distributed and Cluster Computing","3.00","46133","R 06:10PM - 08:40PM","10483","01/12/26 - 04/27/26","Haghnazar Koochaksaraei, R","80","OPEN","CSCI 6421","11584"
"MON 251","Registration restricted to Computer Science graduate students only.","Distributed and Cluster Computing","3.00","46132","R 06:10PM - 08:40PM","11677","01/12/26 - 04/27/26","Haghnazar Koochaksaraei, R","81","WAITLIST","CSCI 6421","11667"
"MPA B07","Registration restricted to Computer Science graduate students only.","Database Systems II","3.00","45376","F 04:30PM - 07:00PM","11759","01/12/26 - 04/27/26","Fernandez, R","10","OPEN","CSCI 6442",""
"ROME 459","Registration restricted to Computer Science Dept. Majors.","Data Mining","3.00","46158","R 06:10PM - 08:40PM","11802","01/12/26 - 04/27/26","Bellaachia, A","10","OPEN","CSCI 6443",""
"","Registration restricted to Computer Science MS majors only.","Introduction to Big Data and Analytics","3.00","44606","","11840","01/12/26 - 04/27/26","","80","CANCELLED","CSCI 6444","11830"
"1776 G C-103","Registration restricted to Graduate Computer Science Dept. Majors.","Introduction to Big Data and Analytics","3.00","46596","T 06:10PM - 08:40PM","11917","01/12/26 - 04/27/26","Omrani Sabbaghi, S","85","OPEN","CSCI 6444","11907"
"PHIL 111","Registration restricted to Computer Science graduate students only.","Computer System Architecture","3.00","45410","TR 02:20PM - 03:35PM","11999","01/12/26 - 04/27/26","Kaisler, S","10","OPEN","CSCI 6461",""
"1957 E 214","Registration restricted to Computer Science graduate students only.","Computer System Architecture","3.00","46177","R 06:10PM - 08:40PM","12042","01/12/26 - 04/27/26","Lancaster, M","12","OPEN","CSCI 6461",""
"DUQUES 359","Registration restricted to Computer Science graduate students only.","Artificial Intelligence","3.00","45328","F 12:45PM - 03:15PM","12087","01/12/26 - 04/27/26","Goldfrank, J","80","WAITLIST","CSCI 6511","12077"
